Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
574.83,4.701685428619385,0.0,0.0,0.0,0.0,-0.19824469089508057
574.862,4.68186616897583,0.0,0.0,0.0,0.0,-0.2013891041278839
574.922,4.68186616897583,0.0,0.0,0.0,0.0,-0.2013891041278839
574.93,4.657278060913086,0.0,0.0,0.0,0.0,-0.18384070694446564
574.962,4.66447114944458,0.0,0.0,0.0,0.0,-0.18688860535621643
574.998,4.66447114944458,0.0,0.0,0.0,0.0,-0.18688860535621643
575.03,4.814451217651367,0.0,0.0,0.0,0.0,-0.1820807158946991
575.062,4.778931617736816,0.0,0.0,0.0,0.0,-0.190203458070755
575.098,4.778931617736816,0.0,0.0,0.0,0.0,-0.190203458070755
575.13,4.747530460357666,0.0,0.0,0.0,0.0,-0.14709079265594482
575.162,4.7768940925598145,0.0,0.0,0.0,0.0,-0.15709121525287628
575.202,4.4945807456970215,0.0,0.0,0.0,0.0,-0.11366643756628036
575.23,4.4945807456970215,0.0,0.0,0.0,0.0,-0.11366643756628036
575.262,4.508049488067627,0.0,0.0,0.0,0.0,-0.12991587817668915
575.306,4.440675735473633,0.0,0.0,0.0,0.0,-0.20611119270324707
575.33,4.440675735473633,0.0,0.0,0.0,0.0,-0.20611119270324707
575.362,4.420166969299316,0.0,0.0,0.0,0.0,-0.20492008328437805
575.41,4.420166969299316,0.0,0.0,0.0,0.0,-0.20492008328437805
575.43,4.460677623748779,0.0,0.0,0.0,0.0,-0.10912137478590012
575.462,4.49419641494751,0.0,0.0,0.0,0.0,-0.10558392107486725
575.506,4.49419641494751,0.0,0.0,0.0,0.0,-0.10558392107486725
575.53,4.2981486320495605,0.0,0.0,0.0,0.0,-0.1923152208328247
575.562,4.341803550720215,0.0,0.0,0.0,0.0,-0.1890346109867096
575.598,4.341803550720215,0.0,0.0,0.0,0.0,-0.1890346109867096
575.63,4.470768928527832,0.0,0.0,0.0,0.0,-0.1679401844739914
575.662,4.530118465423584,0.0,0.0,0.0,0.0,-0.16525563597679138
575.698,4.530118465423584,0.0,0.0,0.0,0.0,-0.16525563597679138
575.73,4.281057357788086,0.0,0.0,0.0,0.0,-0.17518161237239838
575.762,4.266684532165527,0.0,0.0,0.0,0.0,-0.16386941075325012
575.802,4.266684532165527,0.0,0.0,0.0,0.0,-0.16386941075325012
575.83,4.307419776916504,0.0,0.0,0.0,0.0,-0.18528389930725098
575.862,4.3692498207092285,0.0,0.0,0.0,0.0,-0.19079619646072388
575.898,4.3692498207092285,0.0,0.0,0.0,0.0,-0.19079619646072388
575.93,3.97222638130188,0.0,0.0,0.0,0.0,-0.11265068501234055
575.962,4.0062947273254395,0.0,0.0,0.0,0.0,-0.09902593493461609
576.006,4.0062947273254395,0.0,0.0,0.0,0.0,-0.09902593493461609
576.03,4.007596969604492,0.0,0.0,0.0,0.0,-0.16111664474010468
576.062,4.019351482391357,0.0,0.0,0.0,0.0,-0.16124874353408813
576.11,4.019351482391357,0.0,0.0,0.0,0.0,-0.16124874353408813
576.13,4.506059646606445,0.0,0.0,0.0,0.0,-0.14939197897911072
576.162,4.469931602478027,0.0,0.0,0.0,0.0,-0.144864022731781
576.198,4.469931602478027,0.0,0.0,0.0,0.0,-0.144864022731781
576.23,4.276004791259766,0.0,0.0,0.0,0.0,-0.11207424104213715
576.262,4.29569673538208,0.0,0.0,0.0,0.0,-0.11097772419452667
576.302,3.751970052719116,0.0,0.0,0.0,0.0,-0.024105343967676163
576.33,3.751970052719116,0.0,0.0,0.0,0.0,-0.024105343967676163
576.362,3.8043274879455566,0.0,0.0,0.0,0.0,-0.01815258152782917
576.406,3.997847557067871,0.0,0.0,0.0,0.0,-0.13168399035930634
576.43,3.997847557067871,0.0,0.0,0.0,0.0,-0.13168399035930634
576.462,4.101031303405762,0.0,0.0,0.0,0.0,-0.13580617308616638
576.506,4.101031303405762,0.0,0.0,0.0,0.0,-0.13580617308616638
576.53,3.9703187942504883,0.0,0.0,0.0,0.0,-0.04615393280982971
576.562,3.950800895690918,0.0,0.0,0.0,0.0,-0.04956407472491264
576.598,3.950800895690918,0.0,0.0,0.0,0.0,-0.04956407472491264
576.63,4.1464362144470215,0.0,0.0,0.0,0.0,-0.030804168432950974
576.662,4.2113165855407715,0.0,0.0,0.0,0.0,-0.025998741388320923
576.71,4.2113165855407715,0.0,0.0,0.0,0.0,-0.025998741388320923
576.73,4.071170806884766,0.0,0.0,0.0,0.0,-0.05188903957605362
576.762,4.190339088439941,0.0,0.0,0.0,0.0,-0.0501050166785717
576.798,4.190339088439941,0.0,0.0,0.0,0.0,-0.0501050166785717
576.83,4.273065090179443,0.0,0.0,0.0,0.0,-0.018115060403943062
576.862,4.302883148193359,0.0,0.0,0.0,0.0,-0.009038153104484081
576.898,4.302883148193359,0.0,0.0,0.0,0.0,-0.009038153104484081
576.93,4.29047155380249,0.0,0.0,0.0,0.0,-0.05293339863419533
576.962,4.29047155380249,0.0,0.0,0.0,0.0,-0.05293339863419533
577.002,4.326709270477295,0.0,0.0,0.0,0.0,-0.04730044677853584
577.03,4.1719651222229,0.0,0.0,0.0,0.0,0.017606671899557114
577.062,4.1719651222229,0.0,0.0,0.0,0.0,0.017606671899557114
577.106,4.0788774490356445,0.0,0.0,0.0,0.0,-0.06527192890644073
577.13,4.113853931427002,0.0,0.0,0.0,0.0,-0.061652809381484985
577.162,4.113853931427002,0.0,0.0,0.0,0.0,-0.061652809381484985
577.21,4.403409481048584,0.0,0.0,0.0,0.0,-0.09611048549413681
577.23,4.4469709396362305,0.0,0.0,0.0,0.0,-0.10678748786449432
577.262,4.4469709396362305,0.0,0.0,0.0,0.0,-0.10678748786449432
577.314,4.4469709396362305,0.0,0.0,0.0,0.0,-0.10678748786449432
577.33,4.190378189086914,0.0,0.0,0.0,0.0,-0.11839402467012405
577.362,4.190378189086914,0.0,0.0,0.0,0.0,-0.11839402467012405
577.406,4.319793224334717,0.0,0.0,0.0,0.0,0.05016297474503517
577.43,4.335593223571777,0.0,0.0,0.0,0.0,0.05251293256878853
577.462,4.335593223571777,0.0,0.0,0.0,0.0,0.05251293256878853
577.498,4.335593223571777,0.0,0.0,0.0,0.0,0.05251293256878853
577.53,4.309515476226807,0.0,0.0,0.0,0.0,-0.0207381434738636
577.562,4.386798858642578,0.0,0.0,0.0,0.0,-0.012746636755764484
577.602,4.386798858642578,0.0,0.0,0.0,0.0,-0.012746636755764484
577.63,4.524497985839844,0.0,0.0,0.0,0.0,-0.08239509165287018
577.662,4.524497985839844,0.0,0.0,0.0,0.0,-0.08239509165287018
577.698,4.524497985839844,0.0,0.0,0.0,0.0,-0.08239509165287018
577.73,4.024596214294434,0.0,0.0,0.0,0.0,0.009714526124298573
577.762,4.024596214294434,0.0,0.0,0.0,0.0,0.009714526124298573
577.806,4.024596214294434,0.0,0.0,0.0,0.0,0.009714526124298573
577.83,4.390523433685303,0.0,0.0,0.0,0.0,0.025505585595965385
577.862,4.4334540367126465,0.0,0.0,0.0,0.0,0.02851950190961361
577.906,4.112918853759766,0.0,0.0,0.0,0.0,0.017427457496523857
577.93,4.112918853759766,0.0,0.0,0.0,0.0,0.017427457496523857
577.962,4.124141216278076,0.0,0.0,0.0,0.0,0.016932671889662743
578.01,4.214951992034912,0.0,0.0,0.0,0.0,0.05239396542310715
578.03,4.214951992034912,0.0,0.0,0.0,0.0,0.05239396542310715
578.062,4.22331428527832,0.0,0.0,0.0,0.0,0.04982907325029373
578.098,4.22331428527832,0.0,0.0,0.0,0.0,0.04982907325029373
578.13,4.181663513183594,0.0,0.0,0.0,0.0,-0.029102696105837822
578.162,4.27277946472168,0.0,0.0,0.0,0.0,-0.034840624779462814
578.206,4.158414363861084,0.0,0.0,0.0,0.0,-0.04857831075787544
578.23,4.158414363861084,0.0,0.0,0.0,0.0,-0.04857831075787544
578.262,4.214553356170654,0.0,0.0,0.0,0.0,-0.03775763139128685
578.306,4.214553356170654,0.0,0.0,0.0,0.0,-0.03775763139128685
578.33,4.233870983123779,0.0,0.0,0.0,0.0,-0.025917619466781616
578.362,4.281769752502441,0.0,0.0,0.0,0.0,-0.01747235655784607
578.41,4.281769752502441,0.0,0.0,0.0,0.0,-0.01747235655784607
578.43,4.626398086547852,0.0,0.0,0.0,0.0,0.0563625767827034
578.462,4.755063533782959,0.0,0.0,0.0,0.0,0.06816738843917847
578.506,4.4029765129089355,0.0,0.0,0.0,0.0,-0.00681652594357729
578.53,4.4029765129089355,0.0,0.0,0.0,0.0,-0.00681652594357729
578.562,4.474437713623047,0.0,0.0,0.0,0.0,0.002180487848818302
578.598,4.474437713623047,0.0,0.0,0.0,0.0,0.002180487848818302
578.63,4.448737144470215,0.0,0.0,0.0,0.0,0.01514050830155611
578.662,4.489073753356934,0.0,0.0,0.0,0.0,0.023054370656609535
578.698,4.489073753356934,0.0,0.0,0.0,0.0,0.023054370656609535
578.73,4.127708435058594,0.0,0.0,0.0,0.0,0.09036802500486374
578.762,4.172287464141846,0.0,0.0,0.0,0.0,0.08900409936904907
578.818,4.172287464141846,0.0,0.0,0.0,0.0,0.08900409936904907
578.83,4.352625846862793,0.0,0.0,0.0,0.0,0.017522377893328667
578.862,4.395352363586426,0.0,0.0,0.0,0.0,0.023298287764191628
578.906,4.395352363586426,0.0,0.0,0.0,0.0,0.023298287764191628
578.93,4.400187015533447,0.0,0.0,0.0,0.0,0.023105042055249214
578.962,4.422637462615967,0.0,0.0,0.0,0.0,0.02345913089811802
579.002,4.422637462615967,0.0,0.0,0.0,0.0,0.02345913089811802
579.03,4.627592086791992,0.0,0.0,0.0,0.0,0.09085751324892044
579.062,4.632688522338867,0.0,0.0,0.0,0.0,0.09428415447473526
579.102,4.632688522338867,0.0,0.0,0.0,0.0,0.09428415447473526
579.13,4.377776145935059,0.0,0.0,0.0,0.0,0.027037981897592545
579.162,4.454329967498779,0.0,0.0,0.0,0.0,0.030068689957261086
579.198,4.454329967498779,0.0,0.0,0.0,0.0,0.030068689957261086
579.23,4.464894771575928,0.0,0.0,0.0,0.0,0.058944590389728546
